AreaCode,Estimated Energy Use (kWh),Estimated Cost of Energy,Total Floor Area
268052008,2540964,205483,8526
268052005,1931079,155305,6806
268090006,2218216,178090,7377
268090007,1762415,141825,6051
268090004,2830459,227498,9847
268090005,2668389,214368,9090
268094013,3144989,252462,10756
268094007,1666448,133985,5692
268094014,1959153,157730,6501
268091007,2401366,193127,8377
268052001,3045626,245544,9878
268052002,2397076,192897,8373
268052011,3591504,289094,12431
268094010,2608768,215251,9592
268094004,2190382,176025,8257
268094011,1520673,131811,6824
268091008,1991289,160299,6931
268091009,3114697,250418,10542
268091005,2115222,172250,7234
268052003,1997634,160536,6999
268052004,2356037,190066,8125
268052007,2388228,192641,8086
268054017,1606048,129243,5636
268054013,2260572,184059,7743
268054016,1683146,135666,5924
268054011,2373844,191894,9378
268091003,2694563,216971,9516
268091004,3066362,246468,10649
268091001,2175545,174721,7496
268054015,1773527,143381,6422
268054010,1048813,103980,6526
268054014,1690870,136878,6197
268094009,1675548,134682,5783
268094008,1895507,152430,6534
268094003,2193699,176662,7726
268093001,1354185,112001,4682
268093002,1358188,114916,5079
268091013,1864922,150180,6522
268091006,1982656,159435,6958
268091012,1982324,159390,6836
268093007,3038377,244377,10534
268054008,1720926,137771,5771
268054009,2584344,207444,8804
268054007,3066840,246222,10487
268091014,1456419,118069,5110
268052006,2155777,173797,7400
268053006,1438647,115633,5011
268053001,2294976,189652,7303
268091002,2318587,187038,8130
268091010,3090768,248710,10817
268091011,2407089,194322,8384
268093003,1420220,121622,5582
268093004,2732119,221006,10736
268093005,2556853,209033,9268
268093008,1539637,130468,5334
268094012,1464587,118147,6688
268093006,2720169,218573,9350
268093009,3189550,257118,10926
268093010,1881841,152539,6483
268053002,2956334,237406,10095
268053009,1266613,117391,3793
268053010,1752395,141079,6180
268053008,1664129,133830,5816
268053004,3125299,250967,10828
268053005,2218786,178458,7622
268053007,1450523,136580,7384
268053003,1679520,135195,5849
268008016,1910154,154507,7524
268008001,1541111,136793,6510
268008015,2744802,220088,11118
268008009,1913410,155283,8749
268008004,2600207,206662,10869
268008005,2503646,203555,10353
268008002,2203344,179252,9704
268008003,2477629,196748,10298
268008017_01,2761644,225358,15529
268008017_02,1477083,133736,10882
268008006,2447751,197515,10562
268008008,3101527,247710,13590
268008007,2126040,171709,9214
268008011,2190614,174680,9249
268071001,2367801,185960,12066
268071018,1689860,132312,8525
268071019,2213592,173243,11339
268071012,1363852,107816,7005
268008014,1462294,137079,8882
268008013,1950026,155090,10113
268008010,2136781,171605,9192
268008012,2426051,194756,10328
268071022,1119753,95536,8988
268071023_02,1261995,110331,9658
268071023_01,1191533,107402,8774
268071017,2162053,169270,10964
268071016,1789826,140315,9028
268071020,2905224,227400,14629
268071015,2026412,158835,10341
268071011,2799012,223435,11874
268071013,2183589,175388,9218
268071010,2525350,202136,10781
268071006,2450176,198930,10124
268071002,2262640,196358,15034
268071024,1511183,128856,11988
268071003,1734241,142415,7721
268071004,3388591,272159,14436
268071005,2806056,227445,11655
268071021,1618657,126791,8363
268071009,2498465,199374,10239
268071014,1994431,157625,10142
268071025,1261239,101025,6464
268071008,2321305,185418,9377
268071026,648979,59083,4657
268071027,654680,59493,4762
268071028,1083692,99044,6113
268071029,927089,84220,5425
268073011,1524874,123361,6643
268073010,1636651,132705,7124
268073001,1732573,141828,7608
268071007,2759000,219697,11497
268073007,1848234,150550,8082
268072001,3557332,283324,14632
268073006,1651087,136019,7494
268073003,2393697,195268,10141
268073004,2259170,182538,9975
268073005,2272914,184573,10177
268073002,1820452,149271,8348
268072006,2154735,179140,10456
268072010,1451582,133052,10251
268072009,1502600,125729,10679
268072012,934281,83817,6728
268072013_02,886146,81270,6400
268072013_01,1306449,118607,9620
268072002,2641966,210833,11115
268072005,1718813,146336,11497
268072003,2569959,204148,10656
268072004,1841688,154559,13158
268073008,2920045,240142,13336
268072015,1553964,126240,6820
268073009,2818903,229103,12696
268072014,1723711,137959,7231
268072011,1154504,105501,8225
268072008,2105896,178526,14879
268072007,992615,92245,6605
268088001,1573923,122785,7991
268088005,1490020,114669,7443
268088006,1582896,123258,8497
268088007,1536583,118127,7754
268088009,1770728,136122,8951
268088008,1611365,124337,8155
268088010,1769697,157566,9587
268088012,1460687,156767,7583
268088011,1471566,163695,8219
268088002,1678445,130364,7619
268088003,1360420,105956,6235
268088004,2111206,165809,9557
268121002,987963,109569,5459
268121001,1731086,134433,9364
268122003,2162327,169278,11407
268123001,1584843,122525,8730
268123005,1610955,126011,6797
268123002,1436179,113037,10486
268123003,1715575,134327,8183
268121004,1551748,121579,8566
268121005,1561875,121324,8625
268121003,1626705,126389,9281
268123006,1950545,151259,8347
268123007,2313259,179276,9680
268123009,2216038,172023,9676
268123008,1939243,150987,8750
268086004,1783828,148014,9840
268086001,1294495,100850,5721
268086002,1911701,148728,8302
268086003,1449549,114182,6118
268086005,2457674,191275,10353
268123004,1686521,136520,9354
268120001,1607096,124487,8718
268120005,1673685,130209,9585
268120003,1932818,150341,9154
268120004,1779412,138336,7854
268120002,1884497,146404,8844
268122001,1233976,96239,6655
268122002,1695004,132661,9478
268122006,1471809,114673,8690
268122007,1535087,119044,8674
268122005,1420164,111024,8400
268122004,1563032,121684,8942
268120006,2058965,160294,8947
268120007,2042899,159876,8914
268120008,1322929,104167,6438
268120009,1461565,142117,7347
268119009,1277297,100081,6796
268119001,1343574,104556,7578
268119008,1814876,141929,9268
268119002,1619116,126247,8393
268119003,1303441,101478,6849
268119004,1513095,117802,8264
268119007,1364776,106410,6842
268119010,1031136,80245,5689
268119006,1432902,111705,7621
268119005,1066723,82882,5620
268119012,1260420,141711,7031
268119011,970731,109438,5457
268119017,1452120,159320,8962
268119018,989884,108661,5861
268119013_268119014,2157568,231174,15153
268119015_268119016,651773,69307,4497
268037001,1357137,109645,6573
268037012,2226233,176961,9123
268037011,1431081,114484,7015
268037002,1245829,97578,6241
268037010,1176659,94310,5830
268037006,1616544,180572,8782
268037007,2033781,158765,6997
268037008,1584840,131024,5523
268037014,1139708,120967,5618
268037015,781187,87477,4260
268037009,2434904,189758,7734
268037005,1179595,116009,6006
268037004,938928,97396,4582
268037013,1420790,160871,7888
268037003,1129944,100624,4782
