AreaCode,Estimated Energy Use (kWh),Estimated Cost of Energy,Total Floor Area
268114006,3129507,281537,13044
268114001,2820502,242468,9951
268111003,2472743,214168,9051
268110001,1825658,159020,7298
268111006,4553859,408762,17949
268111008,2707163,245743,10779
268110018,2502524,215748,9035
268110008,2388759,204633,8919
268110016,2547027,233053,11102
268111014,3714411,316443,13038
268111005,2733315,238963,9577
268111012,3880147,349610,15494
268111010,2766172,252372,11231
268112004,3756345,306968,13394
268111013,1788078,163716,7648
268112017,4157111,349830,15220
268113008,3198469,281026,11666
268113009,5537205,453175,19129
268113011,3306261,265499,11748
268113016,2040646,185803,7869
268114017,820436,86826,5226
268114016,1993643,179410,8555
268114015,2340054,213672,9387
268114014,3883929,311893,14073
268111011,4010383,338427,14763
268111009,3098198,254351,11427
268111007,4433841,380929,15993
268113010,2550986,212573,8656
268113015,1133117,110934,4586
268113012,2302131,195505,7775
268113013,1295442,129169,5434
268113014,1540653,141049,5860
268112005,2222151,208026,9455
268112003,3088984,267912,11323
268112008,2232181,194696,8188
268112018,1573577,144454,6099
268112013,3459966,283802,12564
268112014,3238438,290606,12916
268112016,2124651,172846,7213
268112015,2396057,215333,8902
268112006,2340384,209053,9283
268112010,2433211,205346,8396
268112007,3244290,313889,14116
268112011,834446,83775,3433
268112009,2283464,186912,8374
268112001,2327747,202886,9390
268112002,2126419,193730,8632
268112012,2871486,252386,11138
268113017_01,1701543,188425,11886
268113017_02,1520104,163379,9906
268110020,3323220,274709,10545
268110017,3277710,300278,15413
268110015,2112284,186067,9039
268022013,1895776,152574,9089
268022012,1874301,167158,9460
268022011,1922126,193191,9014
268022014,1660444,140055,6443
268022015,1653338,139375,8061
268022004,2745290,220697,11046
268022005,1888638,151623,7619
268024005,1946301,156643,8303
268024006,2342140,188566,9871
268024007,2380880,191651,10210
268089001,2316938,187939,9000
268089005,2323790,188250,9370
268089004,1858491,150941,7052
268089002,1812560,146482,6974
268089003,1977682,160188,7687
268089010,1169792,102065,5445
268089011,3026402,245050,11877
268022003,2633505,211665,10687
268022001,1560931,128940,7217
268022002,2177014,177380,9769
268022007,2403650,193436,9457
268022006,2846296,228364,10845
268022008,2973380,238957,11490
268022009,2494390,200261,9389
268022010,2227001,188017,9981
268047009,1231770,105050,4495
268047008,1395274,113181,5245
268089007,1882745,152073,7232
268089006,1736042,141046,6758
268089009,1823192,149825,6980
268089008,1416301,126903,4844
268024002,2133794,171873,9389
268024003,3294788,264822,13523
268024004,2066217,166328,8971
268024001,2226180,179234,9850
268047001,2898237,234713,10703
268047002,2254298,182452,8488
268047010,2764121,223648,10334
268047003,2295612,185430,8544
268023002,2840866,228853,10860
268087001,3012587,242341,11564
268023001,2118817,170465,7916
268087002,3254783,261232,11949
268023013,2102770,187935,9394
268023011,908889,94161,5265
268023009,2781938,223521,10426
268023008,2550591,206972,9607
268047004,2078324,167937,8561
268046001,1755874,142599,7001
268047005,2903412,233848,10779
268046004,2376818,193254,9559
268087008,2024192,162789,8255
268087007,2413064,194757,9602
268087003,2787105,223840,10499
268046002,1865844,153988,6829
268023012,2481214,212157,11141
268023010,2251181,181702,8442
268047006,2558706,206495,9647
268047011,1752189,142126,6557
268047007,1895695,154087,7590
268046005,2348948,190472,8926
268023003,1907883,153495,7044
268023007,2748096,228166,9912
268023006,2368273,191683,9070
268023005,1827009,147314,7035
268046003,2190783,176824,10452
268046008,2203507,178032,8490
268046009,2684003,222160,9837
268087004,2721788,218333,10120
268023004,2359833,191018,8802
268087006,2526889,208412,9455
268087005,1882399,154792,7447
268046010,2076011,171499,8524
268046006,2507037,202853,9705
268046012,2347695,189220,8995
268046007,2654713,214378,10348
268046014,2434080,196353,9661
268046013,593875,53726,2937
268046011,2601631,211098,10064
268076010,1921148,154502,7374
268076009,2563604,205280,9405
268076011,2468446,200167,9383
268076001,2075887,166803,7883
268077001,2254830,181770,8639
268077005,2263049,189471,9473
268077002,2760901,222463,10449
268076006,1877380,151232,7271
268076007,2250064,181430,8558
268076005,2668431,214697,10120
268076004,2226869,179586,8461
268077003,2646298,213101,9946
268077008,3038629,245474,11868
268077004,1848216,149968,6904
268076008,2604780,210285,10238
268076003,1684054,138707,7314
268076002,2453824,200903,10848
268075007,1672714,136911,7390
268041013,2612523,212068,10252
268041001,2912625,233554,10646
268041002,3252291,260388,12058
268062001,2577152,207533,9731
268062004,3100522,250457,11641
268062002,2266959,181580,8214
268062006,1872628,152883,7369
268077009,2584004,209096,10024
268077007,2700816,218462,10354
268077006,2138389,172776,8296
268077010,1988228,162108,8023
268062008,2768901,225160,10464
268062009,2244406,182970,8649
268062005,2511694,213624,10167
268062007,2473107,200659,9309
268062010,1818045,148712,7254
268075001,1917961,156406,7457
268075002,1736422,147198,7343
268041012,1015071,87292,3690
268041004,2189255,175915,8509
268041007,2362587,192441,9352
268041003,2518704,203199,9430
268041005,2332051,187569,8982
268041006,2425832,195198,9626
268041008,1882553,159456,7259
268062003,2501597,202360,9944
268075011,1352285,117753,6294
268075010,1796069,147502,7959
268041009,2265498,183279,8854
268041010,3063851,246989,12008
268041011,2528242,202996,9548
268075003,2189549,175797,8017
268075004,2712477,217291,9965
268075008,2590090,210561,10293
268075009,2247763,180141,8441
268074002,1873959,154494,8733
268126013,2500313,203554,9558
268074001,1792363,148187,8417
268126015,2247870,180883,8194
268074014,2519711,208174,11919
268074003,2484770,199509,9154
268074013,2146799,181955,10823
268075006,1716756,140381,7339
268075005,3000633,240713,11174
268074004,2179056,175146,7910
268074005,2719220,218123,9969
268074006,2373112,190481,8984
268126010,1807713,153020,7697
268126009,2855957,235604,10736
268126004,3630654,291185,13226
268126014,2015570,162719,7288
268126012,2749786,220466,9982
268126011,2815164,226803,10695
268124004,3203737,257042,11687
268124005,2685875,215432,10037
268074007,2915668,233340,10981
268074011,2208312,180682,9744
268074008,2266899,182772,8782
268074012,2187099,183322,10717
268074010,2502792,203876,10667
268074009,1776976,144328,7988
268126003,2871072,229997,10503
268126005,1384211,114471,6460
268126002,2177762,176613,9098
268126001,2900591,237097,11776
268124006,2536187,206993,10499
268124007,2099717,170201,8733
268124008,2087294,171479,8861
268125004,2155520,176582,9588
268125006,1947054,164085,8080
268125005,2136419,173840,8981
268124002,3163791,253463,11716
268124001,3152583,263915,12234
268124003,2917873,234590,11825
268125008,2309406,188892,9910
268125007,2345409,190381,9551
268126008,1376223,123807,7135
268126007,980237,99308,6559
268126006,1200871,104366,5418
268125003,2403419,195650,9004
268125002,2836231,236618,10448
268125001,2602052,215549,9960
268136012,5088003,522474,18548
268127013,3053180,289988,12978
268136011,13210273,1420172,48963
268136010,5751024,589745,19513
268136001,6291828,608916,21255
268136009,24498713,2763622,82368
268136008,25112395,2806804,85017
268136006,11668740,1236439,41948
268136002,16599387,1818972,56057
268132007,7328107,774406,25225
268132008,10338970,1136874,40080
268132006,14024172,1572955,50533
268127014,2896757,234339,10413
268127005,4914015,434307,19565
268127007,5486451,563564,18739
268127001,2988678,270847,11526
268132023,4437934,420993,18851
268132005,9010124,925335,30369
268132003,5594883,598922,22036
268132002,3747914,301785,13331
268132022,3829196,315334,12933
268137008,8178609,873541,30009
268137001,24212955,2699935,81697
268137002,9726839,1034232,33211
268137009,4878880,521260,16938
268136003,8947789,964579,38819
268136007,7575880,814842,25831
268136014,10503168,1140188,42742
268136015,9479454,1038714,35310
268136005,11055159,1219105,37386
268137006,20241518,2246150,68966
268137007,17758833,1952689,59932
268137004,19362677,2171525,64857
268132004,2455763,237883,9308
268132001,33024386,3746376,110839
268132020,20977396,2369610,71436
268132021,36068444,4107237,120952
268136017,12848382,1447898,43542
268136004,7931038,860872,27462
268136013,23063805,2568535,77697
268136016,12592766,1415129,44720
268127006,8595572,941610,46488
268127015,17693419,1983267,59663
268127016,7030014,725426,25806
268127003,7666891,745813,26297
268132009,22788360,2578190,76846
268132024,28308697,3222937,96941
268137011,11354652,1252422,41905
268137010,19445329,2171722,64749
268135002,9460271,1037348,32681
268135005,8297804,865163,34382
268135009,14134725,1581837,48764
268135003,9658145,1057052,32810
268137005,25654593,2921064,87584
268137003,11629839,1286519,42647
268135016,2486263,260328,8755
268135017,6075874,678633,23032
268127009,10072231,1102524,48453
268127008,2085454,198175,8578
268127010,8647830,929887,39487
268127012,8653637,923315,29316
268132012,5765302,619092,30187
268132010,3928935,416397,20805
268133011,36910756,4207676,125799
268132025,3209997,342029,16312
268132027,13169582,1481600,44928
268132011_268132019,12154352,1350247,46046
268137015,13157858,1455081,44722
268137014,26567627,3022190,90322
268137013,12266040,1359273,55193
268137012,12819391,1428534,44062
268135004,16273867,1820135,58513
268135013,11620286,1304302,39202
268135014,4246267,427627,20166
268135015,7461545,833695,26047
268132016,34048405,3856979,113903
268132018,26111592,2961985,88506
268132017,20885823,2371151,70559
268135008,12905884,1403060,43064
268135006,3311892,292220,11220
268135007,8649381,924650,44922
268135001,7503225,800157,25664
268132014,53435133,6120470,179009
268132015,49634428,5673758,166589
268133009,45796213,5236280,153634
268135012,10803662,1175797,40025
268135010,7890233,850459,28405
268135011,10173636,1109401,46376
268132013,2538427,276083,13248
268133001,2674550,303065,13676
268133003,25424921,2868786,87079
268133008,3548953,400788,16864
268127011,7659974,757001,25592
268127004,9189606,932312,30581
268127017,9585014,1065263,36343
268127002,5206596,555548,18512
268132026,9418050,1054813,33884
268133002,7025274,725788,25234
268133014,11615451,1254816,45933
268133013,14522193,1624609,48564
268134001,26177632,2970831,89068
268134006,17267757,1968717,57805
268134008,5768373,626238,28157
268134007,7220130,783393,38914
268134002,3258549,331885,11946
268134010,5271205,539888,17843
268134003,9809783,1062323,52034
268133010,15459474,1714893,52608
268133012,21474931,2403934,77867
268133004,8259361,888570,29469
268134011,8745549,927921,34524
268134012,8664172,939408,29629
268134013,12346268,1321146,41363
268133018,4376618,444265,15108
268133005,21828670,2443470,73871
268133017,20477438,2325818,69952
268133015,3483068,335906,11789
268134009,5908279,616731,21043
268127018,2608116,266806,10595
268134005,7378544,745938,24125
268130011,12384738,1335668,51646
268134004,16803093,1823488,56278
268130004,12565733,1349908,42237
268130006,16316541,1788169,54760
268133007,4356675,440380,18008
268133016,11701659,1287468,49896
268133006,23190939,2609254,79274
268131002,29042995,3231493,100130
268131008,15921675,1716588,55066
268131004,21365672,2379005,75812
268131003,10494751,1140587,41957
268128019,23270478,2647796,79501
268128020,18570851,2088423,62464
268128003,9161760,1017504,36920
268128022,13749404,1496492,46675
268130008,8251611,888368,32566
268130007,5864352,593921,20624
268130003,8754746,930394,30135
268130005,4154353,397325,15521
268128005,11015656,1210490,59748
268128018,10057233,1107092,34169
268128017,1797539,172000,7893
268128004,9484102,1040381,51531
268131005,15095687,1641174,50803
268128024,4877975,515607,18009
268128023,10499186,1165361,35389
268128006,10752517,1174448,44042
268130014,3017350,250132,9802
268130013,3340300,294267,12182
268130010,7280230,684239,28549
268130012,8531220,932745,45433
268131006,11119506,1188694,37355
268130001,10559297,1061375,34490
268130009,3900795,316302,13176
268130002,10772618,1111872,35490
268131007,17855247,1928963,60057
268131009,9990697,1034306,34324
268131010,10384483,1103174,36951
268128021,16894272,1895276,56908
268128001,31891129,3601615,106874
268128015,21771188,2473405,74105
268128002,16551612,1835257,63731
268128016,18544038,2056880,62853
268128010,1554067,166444,6676
268129007,843219,90764,4759
268129012_268129013,936888,97086,6647
268129011,2176398,242297,10485
268129004,1649864,145802,10359
268129009,1114763,122833,6181
268129008,4527404,514838,16844
268129005,3997779,418049,20761
268131001,7520149,706648,26030
268129015,2179896,220365,10739
268129014,4807485,433548,16804
268128007,5525567,583807,28420
268128013,8517369,930595,30623
268128014,5731861,616253,20673
268128011,18141600,1964432,60737
268128009,4508290,467885,15802
268128012_02,11642755,1290480,41488
268128012_01,2454458,246114,16640
268129006,4127087,457607,17718
268129003,6672727,639202,22764
268129020,7460305,787512,25254
268129027,2711482,274223,9518
268129010,3823060,408126,16937
268129018,8990224,966868,40583
268129017,3974434,318378,14295
268129016,10704004,1145897,56595
268129022,8406905,921949,29829
268129023,11272286,1225666,38018
268129021,9678854,999159,33179
268128008,5032156,547427,26977
268129019,16730099,1858770,60953
268129001,5871502,608910,26626
268129026,4223648,423486,17925
268129024,2479426,212879,9692
268129002,2224026,196710,7907
268129025,2010077,187530,8334
268146002,3095564,255166,11039
268146004,4538659,405105,17121
268146003,3619729,299979,13066
268146001,5479966,468168,20047
268145014,4105452,362916,15696
268145013,7037729,690584,31185
268145012,4343638,381028,16541
268144006,3875846,335422,16402
268144007,3942396,356935,15655
268145015,4054620,331299,14318
268145001,2100442,171801,7411
268145004,3388383,277213,12136
268145002,2495026,203119,8874
268146007,1802630,147296,6308
268146006,3962616,349663,14988
268147002,4075384,355484,15253
268147001,3433201,284191,11999
268146005,15942505,1569287,70554
268092006,3948487,374832,16547
268092004,1407347,115447,6772
268092005,3621847,340526,17108
268092008,2254203,185472,10892
268145003,3631859,296687,12923
268144005,2836924,235057,11419
268144004,2946327,242794,12031
268144003,3587240,310951,13856
268144008,3803821,307776,13272
268144013,3102141,253693,10901
268144012,3738962,321978,13789
268145008,3111964,271866,12843
268145007,7681706,705900,31698
268145006,5414504,493661,21957
